Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 27 september 2006,Champions League,Werder Bremen,Werder Bremen,FC Barcelona,89,1,1,,Left foot,Draw
 23 february 2019,Liga,Sevilla,Sevilla,FC Barcelona,85,2,3,Field goal,Left foot,Won
 23 february 2019,Liga,Sevilla,Sevilla,FC Barcelona,67,2,2,Field goal,Right foot,Won
 23 february 2019,Liga,Sevilla,Sevilla,FC Barcelona,26,1,1,Field goal,Left foot,Won
 7 october 2018,Liga,Valencia,Valencia,FC Barcelona,23,1,1,Field goal,Left foot,Draw
 29 april 2018,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,85,2,4,Field goal,Left foot,Won
 29 april 2018,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,82,2,3,Field goal,Right foot,Won
 31 march 2018,Liga,Sevilla,Sevilla,FC Barcelona,89,2,2,Field goal,Left foot,Draw
 14 january 2018,Liga,Real Sociedad,Real Sociedad,FC Barcelona,85,2,4,Free kick,Left foot,Won
 23 april 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,90+2,2,3,Field goal,Left foot,Won
 23 april 2017,Liga,Real Madrid,Real Madrid,FC Barcelona,33,1,1,Field goal,Left foot,Won
 26 february 2017,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,87,1,2,Rebound,Left foot,Won
 8 january 2017,Liga,Villarreal,Villarreal,FC Barcelona,90,1,1,Free kick,Left foot,Draw
 27 november 2016,Liga,Real Sociedad,Real Sociedad,FC Barcelona,59,1,1,Field goal,Left foot,Draw
 6 november 2016,Liga,Sevilla,Sevilla,FC Barcelona,43,1,1,Field goal,Left foot,Won
 22 october 2016,Liga,Valencia,Valencia,FC Barcelona,90+4,2,3,Penalty,Left foot,Won
 3 march 2016,Liga,Rayo Vallecano,Rayo Vallecano,FC Barcelona,72,1,4,Field goal,Left foot,Won
 17 february 2016,Liga,Sporting Gijon,Sporting Gijon,FC Barcelona,31,1,2,Field goal,Left foot,Won
 23 january 2016,Liga,Malaga,Malaga,FC Barcelona,51,1,2,Field goal,Left foot,Won
 12 september 2015,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,77,1,2,Field goal,Left foot,Won
 28 february 2015,Liga,Granada,Granada,FC Barcelona,70,1,3,,Right foot,Won
 27 april 2014,Liga,Villarreal,Villarreal,FC Barcelona,83,2,3,,Right foot,Won
 23 march 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,84,3,4,Penalty,Left foot,Won
 23 march 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,65,3,3,Penalty,Left foot,Won
 23 march 2014,Liga,Real Madrid,Real Madrid,FC Barcelona,42,2,2,,Left foot,Won
